17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000
17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000
17;000 17;000 17;000 17;000 20;001 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 20;001 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 20;001 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000
17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000
17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 18;001 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000
17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 21;001 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000
17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 20;001 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000
17;000 17;000 17;000 17;000 17;000 17;000 17;000 09;002 10;002 10;002 10;002 11;002 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 18;001 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 21;001 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000
17;000 17;000 17;000 17;000 17;000 17;000 17;000 16;002 17;000 17;000 17;000 12;002 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 18;001 17;000 17;000 17;000 20;001 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 20;001 17;000 17;000 17;000 17;000 18;001 17;000 17;000 17;000
17;000 17;000 17;000 17;000 17;000 17;000 17;000 16;002 17;000 17;004 17;000 12;002 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;001 17;001 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000
17;000 21;001 17;000 17;000 17;000 17;000 17;000 16;002 17;000 17;000 17;000 12;002 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 19;001 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000 17;000
