2 2 1 1 1 1 1 1 1 6 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 9 3 1 1 1 1 6 1 1 1
1 1 1 1 1 1 6 3 1 1 2 7 1 1 7 1 1 1 1 1
1 1 1 1 1 1 5 4 1 1 2 25 1 1 1 12 1 1 1 22
1 1 1 1 1 1 1 1 1 1 1 1 1 1 11 17 1 2 1 15
1 1 1 1 1 1 9 1 1 1 11 1 1 13 1 3 1 1 1 1
1 1 1 1 1 1 7 14 1 1 21 17 1 1 3 25 7 17 1 1
1 1 1 1 7 8 7 14 17 1 22 1 7 25 1 22 14 17 7 14
1 1 1 1 1 1 1 11 1 1 23 1 1 13 20 22 19 1 22 18
1 1 1 18 1 1 17 1 13 1 1 1 1 1 18 22 23 1 1 1
1 1 1 17 1 1 8 1 1 1 1 18 1 1 1 22 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 25 25 25 18 1 17 1
1 1 1 1 1 1 1 13 1 1 1 1 1 1 1 13 1 1 1 1
1 1 1 1 18 1 1 1 1 1 1 16 1 1 14 1 1 1 1 1
1 1 1 1 1 1 1 23 1 1 1 1 1 1 1 9 1 1 1 1
1 1 22 1 1 1 1 1 1 1 1 17 1 8 2 7 1 1 1 1
1 1 11 1 1 1 1 1 1 1 1 1 1 1 10 4 3 1 1 1
1 1 1 1 1 1 1 1 1 19 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
